Time,Noisy Signal,Clean Signal
0.0,1695,2048
0.0001,1695,2048
0.0002,1695,2048
0.0003,1695,2048
0.0004,1695,2048
0.0005,1695,2048
0.0006,1695,2048
0.0007,1695,2048
0.0008,1695,2048
0.0009,1695,2048
0.001,1695,2048
0.0011,1695,2048
0.0012,1695,2048
0.0013,1695,2048
0.0014,1695,2048
0.0015,1695,2048
0.0016,1695,2048
0.0017,1695,2048
0.0018,1695,2048
0.0019,1695,2048
0.002,1695,2048
0.0021,1695,2048
0.0022,1695,2048
0.0023,1695,2048
0.0024,1695,2048
0.0025,1695,2048
0.0026,1695,2048
0.0027,1695,2048
0.0028,1695,2048
0.0029,1695,2048
0.003,1695,2048
0.0031,1695,2048
0.0032,1695,2048
0.0033,1695,2048
0.0034,1695,2048
0.0035,1695,2048
0.0036,1695,2048
0.0037,1695,2048
0.0038,1695,2048
0.0039,1695,2048
0.004,1695,2048
0.0041,1695,2048
0.0042,1695,2048
0.0043,1695,2048
0.0044,1695,2048
0.0045,1695,2048
0.0046,1695,2048
0.0047,1695,2048
0.0048,1695,2048
0.0049,1695,2048
0.005,1695,2048
0.0051,1695,2048
0.0052,1695,2048
0.0053,1695,2048
0.0054,1695,2048
0.0055,1695,2048
0.0056,1695,2048
0.0057,1695,2048
0.0058,1695,2048
0.0059,1695,2048
0.006,1695,2048
0.0061,1695,2048
0.0062,1695,2048
0.0063,1695,2048
0.0064,1695,2048
0.0065,1695,2048
0.0066,1695,2048
0.0067,1695,2048
0.0068,1695,2048
0.0069,1695,2048
0.007,1695,2048
0.0071,1695,2048
0.0072,1695,2048
0.0073,1695,2048
0.0074,1695,2048
0.0075,1695,2048
0.0076,1695,2048
0.0077,1695,2048
0.0078,1695,2048
0.0079,1695,2048
0.008,1695,2048
0.0081,1695,2048
0.0082,1695,2048
0.0083,1695,2048
0.0084,1695,2048
0.0085,1695,2048
0.0086,1695,2048
0.0087,1695,2048
0.0088,1695,2048
0.0089,1695,2048
0.009,1695,2048
0.0091,1695,2048
0.0092,1695,2048
0.0093,1695,2048
0.0094,1695,2048
0.0095,1695,2048
0.0096,1695,2048
0.0097,1695,2048
0.0098,1695,2048
0.0099,1695,2048
0.01,1695,2048
0.0101,1695,2048
0.0102,1695,2048
0.0103,1695,2048
0.0104,1695,2048
0.0105,1695,2048
0.0106,1695,2048
0.0107,1695,2048
0.0108,1695,2048
0.0109,1695,2048
0.011,1695,2048
0.0111,1695,2048
0.0112,1695,2048
0.0113,1695,2048
0.0114,1695,2048
0.0115,1695,2048
0.0116,1695,2048
0.0117,1695,2048
0.0118,1695,2048
0.0119,1695,2048
0.012,1695,2048
0.0121,1695,2048
0.0122,1695,2048
0.0123,1695,2048
0.0124,1695,2048
0.0125,1695,2048
0.0126,1695,2048
0.0127,1695,2048
0.0128,1695,2048
0.0129,1695,2048
0.013,1695,2048
0.0131,1695,2048
0.0132,1695,2048
0.0133,1695,2048
0.0134,1695,2048
0.0135,1695,2048
0.0136,1695,2048
0.0137,1695,2048
0.0138,1695,2048
0.0139,1695,2048
0.014,1695,2048
0.0141,1695,2048
0.0142,1695,2048
0.0143,1695,2048
0.0144,1695,2048
0.0145,1695,2048
0.0146,1695,2048
0.0147,1695,2048
0.0148,1695,2048
0.0149,1695,2048
0.015,1695,2048
0.0151,1695,2048
0.0152,1695,2048
0.0153,1695,2048
0.0154,1695,2048
0.0155,1695,2048
0.0156,1695,2048
0.0157,1695,2048
0.0158,1695,2048
0.0159,1695,2048
0.016,1695,2048
0.0161,1695,2048
0.0162,1695,2048
0.0163,1695,2048
0.0164,1695,2048
0.0165,1695,2048
0.0166,1695,2048
0.0167,1695,2048
0.0168,1695,2048
0.0169,1695,2048
0.017,1695,2048
0.0171,1695,2048
0.0172,1695,2048
0.0173,1695,2048
0.0174,1695,2048
0.0175,1695,2048
0.0176,1695,2048
0.0177,1695,2048
0.0178,1695,2048
0.0179,1695,2048
0.018,1695,2048
0.0181,1695,2048
0.0182,1695,2048
0.0183,1695,2048
0.0184,1695,2048
0.0185,1695,2048
0.0186,1695,2048
0.0187,1695,2048
0.0188,1695,2048
0.0189,1695,2048
0.019,1695,2048
0.0191,1695,2048
0.0192,1695,2048
0.0193,1695,2048
0.0194,1695,2048
0.0195,1695,2048
0.0196,1695,2048
0.0197,1695,2048
0.0198,1695,2048
0.0199,1695,2048
0.02,1695,2048
0.0201,1695,2048
0.0202,1695,2048
0.0203,1695,2048
0.0204,1695,2048
0.0205,1695,2048
0.0206,1695,2048
0.0207,1695,2048
0.0208,1695,2048
0.0209,1695,2048
0.021,1695,2048
0.0211,1695,2048
0.0212,1695,2048
0.0213,1695,2048
0.0214,1695,2048
0.0215,1695,2048
0.0216,1695,2048
0.0217,1695,2048
0.0218,1695,2048
0.0219,1695,2048
0.022,1695,2048
0.0221,1695,2048
0.0222,1695,2048
0.0223,1695,2048
0.0224,1695,2048
0.0225,1695,2048
0.0226,1695,2048
0.0227,1695,2048
0.0228,1695,2048
0.0229,1695,2048
0.023,1695,2048
0.0231,1695,2048
0.0232,1695,2048
0.0233,1695,2048
0.0234,1695,2048
0.0235,1695,2048
0.0236,1695,2048
0.0237,1695,2048
0.0238,1695,2048
0.0239,1695,2048
0.024,1695,2048
0.0241,1695,2048
0.0242,1695,2048
0.0243,1695,2048
0.0244,1695,2048
0.0245,1695,2048
0.0246,1695,2048
0.0247,1695,2048
0.0248,1695,2048
0.0249,1695,2048
0.025,1695,2048
0.0251,1695,2048
